Intensity,Slope (%/week),Intercept (% of day),95% CI (Slope),p-value,df
REST,-0.3,71.53,"[-0.78, 0.18]",0.220,65
SED,0.22,26.15,"[-0.25, 0.7]",0.355,65
LPA,0.06,1.36,"[0.0, 0.12]",0.039,65
MPA,0.0,1.02,"[-0.04, 0.05]",0.855,65
VPA,0.01,-0.06,"[0.01, 0.02]",<0.001,65
