Intensity,Slope (%/week),Intercept (% of day),95% CI (Slope),p-value,df
REST,-0.3,71.52,"[-0.78, 0.18]",0.219,65
SED,0.22,26.17,"[-0.25, 0.7]",0.357,65
LPA,0.06,1.35,"[0.0, 0.12]",0.037,65
MPA,0.0,1.02,"[-0.04, 0.05]",0.850,65
VPA,0.01,-0.05,"[0.01, 0.01]",<0.001,65
